amplitudeEnvelope,RMSE,ZCR,spectralCentroid,spectralBandwidth,spectralRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,intelligence
0.19578578,0.19445044,0.07479224,0.21161152,0.3538456,0.34963325,0.7271512,0.65967184,0.224658,0.25932205,0.5935983,0.7443153,0.7138665,0.7250158,0.5981107,0.44951108,0.87676203,0.7161002,0.48141533,0.6448481,0.27259877,0.6602585,0.5098171,0.44643167,0.5186077,0.71727484,0
0.16279945,0.27004835,0.18559557,0.23085509,0.38717777,0.40586796,0.8311883,0.65820736,0.24407794,0.28578642,0.5898083,0.7682839,0.76977676,0.68548673,0.57704216,0.44154212,0.7101727,0.60370386,0.46625996,0.7145173,0.3177469,0.6563078,0.55923206,0.47878438,0.59329164,0.71797216,0
0.3309921,0.26999027,0.19113573,0.22298774,0.38460255,0.37163815,0.8570224,0.65756446,0.24413188,0.2987027,0.5667576,0.66532713,0.71865505,0.66050327,0.51457053,0.3979889,0.63259023,0.45827156,0.48234186,0.77816737,0.30971926,0.59935176,0.6196163,0.5122438,0.5971811,0.8113349,0
0.3309921,0.34783348,0.16759002,0.1991341,0.3631206,0.34963325,0.89969337,0.6662412,0.25360715,0.27737996,0.583673,0.66783154,0.5904178,0.58403337,0.4737773,0.32296726,0.62373286,0.33864343,0.36755785,0.6894061,0.37431547,0.53290963,0.68668747,0.38237277,0.52323407,0.7776141,0
0.32434466,0.44030163,0.1398892,0.20111135,0.4071908,0.38630807,0.9248364,0.6532373,0.27534127,0.20133647,0.59235793,0.7361139,0.52966076,0.61160433,0.45372418,0.2779396,0.48176387,0.3731251,0.45143813,0.80032635,0.41068608,0.44866022,0.68288404,0.33507648,0.48808688,0.6191188,0
0.43772733,0.49098116,0.13711911,0.2190919,0.46501598,0.4352078,0.92888194,0.6441594,0.27764717,0.16717288,0.55946946,0.7189588,0.5777203,0.6722876,0.39409712,0.32811183,0.390233,0.36526707,0.37427008,0.89168876,0.39974537,0.33834076,0.6092302,0.30152008,0.53399837,0.7857931,0
0.5370626,0.60759014,0.10387812,0.18898508,0.40774417,0.35452324,0.908137,0.65807444,0.268563,0.17876309,0.5556897,0.6755626,0.5917697,0.70101744,0.3486628,0.45972645,0.5233942,0.43734413,0.26886958,0.7496668,0.356755,0.34031448,0.494098,0.23398003,0.5225615,0.77333856,0
0.5370626,0.76082796,0.06786703,0.16310371,0.3598739,0.28850856,0.92265224,0.68543386,0.26380172,0.18596937,0.51168734,0.62446433,0.57722527,0.690537,0.42793477,0.5289308,0.47076547,0.3488882,0.377971,0.74775124,0.4448121,0.44774806,0.47134155,0.19610715,0.4880911,0.76866925,0
0.45829675,0.77128726,0.07479224,0.14621106,0.33750486,0.24694377,0.927073,0.70402575,0.250701,0.18516694,0.50354826,0.58896434,0.5498243,0.697669,0.37840977,0.45573124,0.4702241,0.35487098,0.43092337,0.81486017,0.47699252,0.48546824,0.61317444,0.3373645,0.43214563,0.7171661,0
0.45829675,0.7571311,0.083102494,0.16333975,0.3469243,0.2616137,0.9354067,0.67680246,0.25996956,0.1907144,0.5349327,0.5789705,0.5666071,0.6467819,0.3497988,0.3750365,0.5104134,0.32752067,0.34979403,0.7499807,0.40691486,0.3958406,0.5727047,0.31880224,0.34613964,0.50079226,0
0.46155775,0.771465,0.07479224,0.17479728,0.4212262,0.33251834,0.9126149,0.6510345,0.2870541,0.20756829,0.56976694,0.60618854,0.56554115,0.63498986,0.3614128,0.3790113,0.43019503,0.30344322,0.31703988,0.75402516,0.38765642,0.3455953,0.49742153,0.24370101,0.29442823,0.45608026,0
0.46155775,0.7745014,0.06648199,0.1492914,0.3508284,0.26405868,0.8847927,0.67458534,0.2690558,0.23671849,0.58150953,0.60413885,0.5845695,0.61488104,0.32761925,0.40147698,0.44749126,0.42454833,0.27803186,0.75438786,0.34575182,0.5005585,0.5933298,0.3240851,0.20775442,0.3107373,0
0.5052051,0.7923759,0.07202216,0.14678806,0.32162222,0.24449877,0.8901915,0.70463455,0.2661653,0.26285288,0.5506307,0.61275387,0.5592855,0.65217817,0.29447553,0.4244065,0.48680604,0.38398826,0.26640156,0.7861611,0.39898634,0.52739984,0.60923654,0.406547,0.18635485,0.19515881,0
0.5052051,0.7929157,0.06786703,0.13764337,0.32714847,0.2591687,0.8777112,0.7120219,0.2846785,0.2654761,0.4544088,0.59207934,0.5867945,0.6959075,0.31511402,0.42986417,0.4782389,0.35021317,0.14105837,0.7479946,0.4150958,0.55109733,0.53884125,0.46513543,0.22746131,0.20115054,0
0.36949706,0.6942766,0.06786703,0.13951667,0.3452925,0.25427872,0.8792453,0.739335,0.29144993,0.18862991,0.38492423,0.54511356,0.5604728,0.674393,0.389652,0.4738049,0.47290614,0.40192774,0.19803269,0.72969496,0.20334953,0.4097173,0.5717164,0.489667,0.30729294,0.38949063,0
0.36949706,0.6342707,0.076177284,0.121754475,0.29481947,0.22982885,0.86752844,0.7600351,0.27729243,0.19184326,0.39133266,0.51108104,0.5208085,0.6752453,0.42201933,0.5082758,0.44595927,0.36741224,0.26323208,0.7907574,0.24177805,0.23377934,0.5096797,0.5176623,0.2832309,0.45955527,0
0.36297503,0.66708094,0.07479224,0.12207017,0.25643986,0.21515892,0.8334034,0.76994383,0.2581685,0.248892,0.4796152,0.5634377,0.51492393,0.73369676,0.37816733,0.51510584,0.57928866,0.41172168,0.31067458,0.8145143,0.3274131,0.307848,0.48721254,0.49339256,0.3453605,0.38609216,0
0.3955851,0.6255066,0.0734072,0.12526938,0.25734603,0.22738387,0.8117631,0.7695725,0.25911868,0.29955706,0.53805786,0.56008255,0.61475974,0.7772024,0.39520496,0.4623094,0.6801425,0.42258644,0.22853017,0.7266824,0.4468702,0.38287902,0.60066766,0.522758,0.3723247,0.2743212,0
0.3955851,0.6243482,0.06371191,0.12088871,0.29261535,0.22738387,0.7897342,0.7573763,0.30082074,0.31770068,0.5727763,0.543421,0.6491825,0.8140179,0.46528682,0.43867865,0.5341083,0.33341345,0.19506213,0.72750276,0.50540125,0.3661239,0.5685234,0.42945343,0.34865865,0.24646373,0
0.37125298,0.57582915,0.058171745,0.11875768,0.30365407,0.22738387,0.77671826,0.7432,0.3164456,0.33077544,0.57233304,0.53107536,0.55265456,0.72489876,0.46275595,0.4560147,0.43872863,0.2910074,0.11703423,0.7382359,0.48540387,0.3850886,0.55600995,0.26239428,0.3146964,0.2919471,0
0.37125298,0.55072033,0.07479224,0.14011501,0.33061412,0.26650366,0.7826734,0.7186896,0.28976566,0.31035188,0.5434807,0.55651844,0.5626768,0.66937757,0.3625848,0.49929753,0.47284293,0.33144352,0.24175185,0.7550296,0.34184197,0.40762547,0.6028875,0.33372125,0.34395817,0.27742308,0
0.3530666,0.5614044,0.085872576,0.13007012,0.3103069,0.22738387,0.7713615,0.74304926,0.26673853,0.2406442,0.6203394,0.53057265,0.60612166,0.7204633,0.31788957,0.5210069,0.5356342,0.30609393,0.37705317,0.71324855,0.3181293,0.46103588,0.6042535,0.34842557,0.39725736,0.2828178,0
0.3530666,0.55316114,0.077562325,0.11088068,0.3052054,0.2176039,0.75751835,0.7711215,0.2900294,0.23063543,0.5695722,0.5317951,0.6190715,0.6618982,0.28969964,0.48136932,0.5661839,0.30823708,0.17105135,0.6003601,0.3532308,0.50459605,0.58760494,0.26388675,0.43908632,0.3975315,0
0.34955475,0.5531772,0.078947365,0.12041445,0.2998887,0.22982885,0.75082874,0.7529552,0.309426,0.2949199,0.54217124,0.5651476,0.59471554,0.6303788,0.31698334,0.5028721,0.70713794,0.30399454,0.20215532,0.5643842,0.34972462,0.6164962,0.4969191,0.36925983,0.4566377,0.31834084,0
0.3439107,0.5230885,0.081717454,0.13061024,0.3258434,0.27383864,0.74931014,0.73991483,0.31101283,0.33212465,0.53769046,0.63594776,0.60523444,0.65201235,0.39674637,0.5419687,0.8965452,0.43135345,0.47017014,0.7662266,0.34230095,0.5875846,0.57310367,0.44880047,0.59891593,0.23248903,0
0.41151386,0.5278431,0.08033241,0.11438414,0.26511362,0.22738387,0.7505235,0.7507672,0.30155256,0.3099917,0.64406955,0.63606066,0.59576565,0.676781,0.36629114,0.4608598,0.7799949,0.4285707,0.43335775,0.7830825,0.28618914,0.46410224,0.7241437,0.42679673,0.4717813,0.25923696,0
0.41151386,0.53177947,0.087257616,0.12276494,0.32751384,0.23471883,0.76589715,0.74652624,0.29855734,0.27904373,0.5905949,0.5507337,0.5807388,0.6113625,0.397276,0.4583914,0.70975244,0.41510254,0.32351974,0.63488084,0.35357392,0.5384636,0.6645506,0.42594543,0.44730717,0.3180882,0
