amplitudeEnvelope,RMSE,ZCR,spectralCentroid,spectralBandwidth,spectralRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,intelligence
0.009912354,0.0,0.09248555,0.34103173,0.39209384,0.3433735,0.0,0.50116634,0.35843995,0.48905945,0.2732325,0.7279313,0.72951716,0.7949644,0.7614734,0.41402045,0.90541834,0.8252862,0.8048794,0.74307495,0.8016302,0.33150727,0.518902,0.40698388,0.83064497,0.5124209,0
0.029111018,0.029648047,0.27456647,0.29104006,0.2796487,0.28915662,0.07598244,0.589434,0.37764737,0.5763174,0.25313967,0.6969013,0.6840709,0.8474432,0.7810876,0.28892776,0.6551012,0.65503454,0.7585805,0.53317386,0.65082145,0.26431707,0.34279186,0.27836084,0.79970104,0.48306057,0
0.029111018,0.042420767,0.23121387,0.20756502,0.27801394,0.26204818,0.07953742,0.6955891,0.52263093,0.73403597,0.29383096,0.6981212,0.68549174,0.85272163,0.74313545,0.22731665,0.4938836,0.50844187,0.61919475,0.30933443,0.5507545,0.1444142,0.23256257,0.15527572,0.82093537,0.5741528,0
0.044762105,0.06382481,0.19653179,0.16641934,0.22608958,0.20783132,0.11893296,0.766647,0.5534389,0.78450227,0.31816489,0.7049368,0.68479025,0.85795695,0.70205694,0.28481534,0.48119414,0.45113853,0.54567534,0.29551223,0.54145604,0.038545243,0.28966302,0.1842383,0.7859874,0.55053073,0
0.3930509,0.0885502,0.15317918,0.14509526,0.23581317,0.18674698,0.16212794,0.76707095,0.6189133,0.8253705,0.31840527,0.6371571,0.5437077,0.76531065,0.65960073,0.21872522,0.43803653,0.46814182,0.51746213,0.40109342,0.57503766,0.17988561,0.46823254,0.3419664,0.8036139,0.65490127,0
0.3930509,0.22681607,0.09248555,0.11835533,0.24772528,0.1746988,0.3268984,0.89222294,0.7280202,0.7115826,0.16590193,0.5113195,0.46806777,0.6810249,0.69151837,0.17891634,0.30339083,0.4242723,0.4595844,0.41748232,0.8569229,0.39724365,0.5077744,0.4493186,0.8198856,0.7491727,0
0.3579925,0.38173592,0.10404624,0.050322205,0.1016877,0.04819277,0.38016707,0.9085477,0.72692424,0.54409057,0.06735275,0.37003914,0.55575407,0.665776,0.7769077,0.22440827,0.26310208,0.52086544,0.50789034,0.26217145,0.8951669,0.6168863,0.4678232,0.51812357,0.7407123,0.635406,0
0.31615192,0.4561007,0.1300578,0.082624555,0.17607465,0.06626506,0.3112193,0.8237338,0.6051563,0.38140973,0.13394314,0.3019684,0.71606094,0.70644647,0.8089143,0.26854023,0.35063815,0.6325148,0.44761795,0.081025764,0.74030787,0.91483337,0.54006076,0.60484356,0.72621906,0.494302,0
0.3562187,0.47615233,0.14739884,0.08941209,0.14051892,0.063253015,0.2593278,0.7581999,0.4615497,0.25480187,0.17651807,0.30875322,0.71946007,0.74748653,0.7311826,0.24193844,0.59885025,0.5221041,0.3798641,0.16034466,0.6174193,1.0,0.5698741,0.50084007,0.750047,0.2664851,0
0.3562187,0.4897316,0.15606937,0.13697585,0.1729962,0.12349398,0.23412716,0.6547151,0.3302744,0.24581183,0.19402045,0.29425338,0.88752985,0.76137286,0.6726721,0.248088,0.6988402,0.42493582,0.42863962,0.19135813,0.48612088,0.9769128,0.48515725,0.41337144,0.6785962,0.23455639,0
0.3402546,0.4459882,0.1734104,0.16718394,0.1842897,0.15963855,0.19936776,0.5883147,0.26232216,0.32130674,0.27107278,0.3467091,1.0,0.743085,0.6170695,0.45260647,0.6877937,0.46050042,0.38636935,0.18703751,0.5827654,0.9281574,0.31539902,0.31158835,0.6112754,0.21278495,0
0.31396076,0.3513881,0.21965317,0.18272625,0.08817309,0.18072289,0.25814247,0.6484806,0.10825251,0.38932988,0.39449713,0.36011243,0.67833155,0.66676277,0.48001888,0.5487114,0.68737835,0.61297536,0.43902993,0.18761984,0.6961718,0.847603,0.24935208,0.2504927,0.52862895,0.34195706,0
0.27149415,0.26226714,0.21387284,0.1751747,0.12699516,0.15060242,0.25967032,0.73443156,0.14929384,0.37377706,0.51833904,0.3225779,0.4657974,0.47357345,0.33878785,0.45203534,0.65817225,0.6774325,0.33008528,0.34135702,0.5552216,0.7272629,0.33237782,0.27720553,0.38278624,0.47914076,0
6.260434E-4,0.13115986,0.1849711,0.1552456,0.22574879,0.13554217,0.22639701,0.6310107,0.5461892,0.33309805,0.55274576,0.5525698,0.25628516,0.5415566,0.40055388,0.3637171,0.7303073,0.5847138,0.37119424,0.3629781,0.497506,0.43619487,0.54188365,0.17702436,0.23141381,0.5460511,0
0.03860601,0.018841267,0.36705202,0.62445307,0.9445103,0.8704819,0.31592834,0.32551715,0.9367063,0.43460065,0.41393784,0.71801203,0.40318164,0.75443524,0.70172805,0.51624,0.73391545,0.5833181,0.42996684,0.4591077,0.5417821,0.10848925,0.48049355,0.3743481,0.55672306,0.4300156,0
0.093280464,0.050627183,0.5549133,0.7418141,0.9543729,0.9066265,0.52417,0.21244086,0.944647,0.49240285,0.3319607,0.67387843,0.44237635,0.94157636,0.8450326,0.55906814,0.80014366,0.653996,0.55034024,0.5204332,0.5863241,0.23367943,0.51035136,0.43048862,0.6270505,0.4782106,0
0.12468698,0.07145395,0.6849711,0.8736335,0.93732965,0.92469877,0.62634635,0.14858589,0.9190413,0.41941053,0.32604158,0.68537897,0.41372016,0.9270149,0.75095195,0.48380637,0.81391126,0.66019905,0.5849668,0.43427607,0.6055575,0.31832874,0.54763377,0.43646392,0.5508752,0.51420516,0
0.12468698,0.10144564,0.6936416,0.881046,0.9929322,0.9698795,0.65960175,0.112217784,0.9155776,0.30904952,0.2737953,0.6409494,0.42261368,0.9365899,0.6800247,0.54065514,0.889072,0.5811099,0.5727339,0.45430106,0.589,0.30372927,0.5464359,0.4528173,0.4776419,0.515713,0
0.34766278,0.10313066,0.65317917,0.94538426,1.0,1.0,0.6335573,0.13637488,0.9250405,0.31841817,0.30538642,0.62062633,0.39816624,0.9434067,0.66624826,0.5899951,1.0,0.51519656,0.46742788,0.36627293,0.5061781,0.30331373,0.5731493,0.44235298,0.49540362,0.5163815,0
