amplitudeEnvelope,RMSE,ZCR,spectralCentroid,spectralBandwidth,spectralRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,intelligence
0.0,0.0,0.46225166,0.6882513,0.8217949,0.9691358,1.8862137E-4,0.4246366,0.4295745,0.36273327,0.58286303,0.7142834,0.6534113,0.68131346,0.6199399,0.57221186,0.709918,0.60533136,0.84189874,0.7812065,0.507838,0.6648761,0.6449227,0.5947808,0.6860143,0.5529398,0
0.0,6.100371E-5,0.97483444,0.72194976,0.7847155,0.9814815,2.1457949E-4,0.42472357,0.429662,0.36298552,0.5830436,0.7144617,0.65369004,0.6815473,0.62020445,0.5726388,0.7103339,0.6057864,0.84243476,0.7815506,0.50822884,0.66524905,0.6453852,0.5951099,0.6863417,0.5534162,0
0.0020547945,5.8111913E-5,0.96291393,0.7239068,0.759431,0.9691358,0.0,0.42400414,0.42893803,0.36089903,0.5815501,0.71298724,0.6513851,0.6796131,0.61801594,0.56910706,0.7068939,0.60202223,0.8380013,0.7787047,0.50499576,0.66216385,0.6415586,0.59238786,0.68363327,0.54947525,0
0.013013699,3.1008606E-4,0.72450334,0.64129555,0.8233884,0.94135803,0.1120165,0.7406846,0.62647057,0.67308176,0.7308541,0.81032944,0.68646973,0.6300016,0.55194855,0.5122409,0.64870745,0.47974572,0.68125206,0.7194432,0.46092743,0.59439814,0.54337573,0.5456845,0.6399959,0.4176789,0
0.013013699,0.011523641,0.28609273,0.03210104,0.38130748,0.13580246,0.22561474,0.87615806,0.57067984,0.7118592,0.7507258,0.8067254,0.68425536,0.6554588,0.5563508,0.47275198,0.72458595,0.43852276,0.6333177,0.7640257,0.43912414,0.55910265,0.53869987,0.56666523,0.61599207,0.37942445,0
0.009246576,0.014463842,0.041059602,0.08145959,0.5082349,0.34876543,0.20829093,0.8330331,0.5837905,0.7501037,0.73255956,0.82509226,0.69467884,0.6752927,0.55529594,0.49521774,0.7379442,0.4831301,0.77840453,0.758741,0.40803567,0.5855339,0.5755427,0.5706016,0.6128756,0.30445763,0
0.0042237444,0.009257855,0.062251657,0.16137312,0.6087647,0.49691358,0.15437469,0.7481492,0.5692933,0.65907407,0.70827943,0.8271352,0.6935566,0.6245696,0.5603056,0.54781127,0.69626415,0.6130183,0.9159515,0.72317517,0.4163588,0.6668688,0.610695,0.5463919,0.61649084,0.31854096,0
0.0028538813,0.003933346,0.13509934,0.24714889,0.64223385,0.5802469,0.14975142,0.7123811,0.5405191,0.608128,0.6392042,0.7960092,0.65777165,0.6220163,0.60524464,0.5530452,0.67304885,0.6323771,1.0,0.7448212,0.50016236,0.7564239,0.59961563,0.54874325,0.6432995,0.47009665,0
0.0075342464,0.0030757305,0.18675497,0.305727,0.6345339,0.6234568,0.1455113,0.6816356,0.5326065,0.63965994,0.5955044,0.75653565,0.6229288,0.6637718,0.6940912,0.56624967,0.6681003,0.5642386,0.85595703,0.6803003,0.51199144,0.8755078,0.67037433,0.5265451,0.6457807,0.47900176,0
0.1020548,0.0038548345,0.19337748,0.28726897,0.645042,0.60493827,0.18238859,0.67119217,0.48518166,0.6284155,0.57332915,0.8286391,0.77261144,0.65912014,0.6424483,0.70195115,0.6209844,0.44927037,0.65798724,0.7273199,0.6145579,0.58877015,0.42941904,0.43087348,0.587638,0.5317697,0
0.15034246,0.014886496,0.19337748,0.3072353,0.53751403,0.595679,0.4696654,0.782806,0.13776556,0.1932978,0.42847162,0.80476606,1.0,0.7010772,0.5312523,0.9281324,0.39298588,0.51812243,0.48552433,0.66403997,0.8970545,0.376712,0.4429338,0.52829456,0.4940851,0.41574532,0
