amplitudeEnvelope,RMSE,ZCR,spectralCentroid,spectralBandwidth,spectralRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,intelligence
0.04625928,0.012021267,0.13461539,0.23743354,0.2106338,0.31920904,0.14929007,0.65883976,0.10426251,0.5594579,0.60818243,0.44011587,0.8432278,0.46263754,0.7246312,0.6384873,0.47760397,0.44404542,0.56565744,0.0,0.8038186,0.7364658,0.5861571,0.524831,0.2849256,0.39144865,0
0.04625928,0.032920383,0.3525641,0.20185634,0.17497315,0.3022599,0.2664834,0.6880753,0.07449279,0.62149566,0.57667804,0.4282046,0.8041622,0.54977804,0.7632476,0.6318627,0.49155325,0.3897191,0.6034287,0.17916968,0.8099275,0.63944435,0.62561965,0.544982,0.27770805,0.3782655,0
0.036550544,0.033065133,0.32371795,0.2073151,0.1948174,0.29661018,0.26516306,0.6932099,0.10271587,0.57021344,0.5276203,0.35785228,0.81729865,0.6550786,0.81444496,0.7278063,0.5244831,0.3413974,0.5263739,0.1728163,0.66268784,0.5721833,0.693184,0.5288187,0.40940288,0.43199635,0
0.04169046,0.031174641,0.28846154,0.19421026,0.215584,0.29943502,0.2694052,0.7055495,0.15612732,0.50558,0.50258857,0.33869958,0.8015373,0.78879946,0.8860623,0.7614722,0.4944015,0.33493325,0.55241585,0.20340864,0.5997383,0.52345955,0.5892709,0.54823136,0.48553172,0.4333878,0
0.042261563,0.03192873,0.28525642,0.19088803,0.23108867,0.28531075,0.2763903,0.6953722,0.1719587,0.46000612,0.56349576,0.33524516,0.85441786,0.7360683,0.9236722,0.6417252,0.5478713,0.402012,0.65651745,0.31575906,0.59340006,0.49892285,0.54196846,0.69281024,0.39370802,0.59458846,0
0.11993147,0.031756453,0.27564102,0.19580193,0.2825056,0.2881356,0.34878826,0.5615212,0.33386827,0.37585098,0.65399915,0.40325293,0.8432249,0.74302214,0.8384465,0.61848193,0.47766253,0.54136366,0.60318065,0.40899554,0.6285558,0.41968182,0.63832676,0.69952554,0.25680786,0.5753962,0
0.21245003,0.041981105,0.67948717,0.6220819,0.809687,0.8502825,0.53097725,0.20331898,0.51534057,0.40122914,0.527739,0.56810534,0.8301729,0.7284107,0.79030097,0.66173005,0.36267632,0.6656629,0.62479824,0.305681,0.81303537,0.2701535,0.44345713,0.63588,0.17937542,0.71169627,0
0.3900628,0.116401196,0.75,0.663789,0.6815289,0.7542373,0.68710005,0.27947763,0.55482095,0.55655134,0.519548,0.5260562,0.74646956,0.62624776,0.5658545,0.45873106,0.22519577,0.44531238,0.5696356,0.3317872,1.0,0.3592302,0.2278948,0.36781457,0.20866984,0.8866552,0
0.57509995,0.350473,0.23076923,0.13942596,0.3681567,0.26553673,0.7565856,0.59172547,0.4440828,0.49159825,0.5156722,0.37721542,0.6314783,0.56013876,0.3602285,0.347092,0.40175885,0.53158444,0.63802695,0.27570066,0.8238846,0.55346006,0.2974531,0.34663454,0.20838258,0.79676235,0
0.57509995,0.48113573,0.067307696,0.10433222,0.26176628,0.20056497,0.7509657,0.6716928,0.36770365,0.44945776,0.5128635,0.3007522,0.56951374,0.52400446,0.3180263,0.3488063,0.53821546,0.4398106,0.649447,0.27826735,0.58157575,0.66510385,0.3957976,0.4731267,0.2148663,0.7151558,0
0.6287835,0.37738523,0.03846154,0.12313293,0.29895714,0.24293785,0.63841426,0.6878975,0.3833324,0.49445882,0.49353397,0.36628702,0.63190424,0.5991396,0.3251302,0.3193754,0.39320982,0.32198015,0.57175684,0.25787655,0.48575017,0.5955427,0.49992877,0.54369354,0.30985767,0.7019832,0
0.95773846,0.26886135,0.057692308,0.09968163,0.27308142,0.21468927,0.6743435,0.67430645,0.3398251,0.5261839,0.5513728,0.41161945,0.6200246,0.78189176,0.08839795,0.32792094,0.48873222,0.46386245,0.48549458,0.39232194,0.53874475,0.4447468,0.2742222,0.51823586,0.35866225,0.6197604,0
0.95773846,0.52666503,0.18910256,0.25308096,0.3867922,0.3700565,0.92574954,0.4647308,0.20654517,0.57931703,0.41656005,0.38958037,0.4840209,0.89398503,0.0,0.35728976,0.71490884,0.5642724,0.2694877,0.55665857,0.49706912,0.43665102,0.18461797,0.5904445,0.2669931,0.5524808,0
0.9537407,0.7509713,0.26602563,0.32991368,0.37563258,0.48870057,1.0,0.3467951,0.12279075,0.61674887,0.3209501,0.29359916,0.4765592,0.9070932,0.11433468,0.30129385,0.79417425,0.6471631,0.1096176,0.4464929,0.59170336,0.39352915,0.24756916,0.7810686,0.47870675,0.56808245,0
