amplitudeEnvelope,RMSE,ZCR,spectralCentroid,spectralBandwidth,spectralRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,intelligence
0.21532334,0.18278734,0.071428575,0.11163626,0.19528969,0.2006079,0.6565774,0.88058674,0.39499462,0.6516014,0.46091214,0.60748684,0.6109824,0.57350016,0.4818922,0.6150713,0.16227822,0.40846244,0.5854893,0.7192025,0.90951365,0.9708497,0.74337155,0.8806106,0.78400415,0.5149158,0
0.14112777,0.23587374,0.21428572,0.19864795,0.24863799,0.25835866,0.70109,0.7894135,0.3281473,0.6143355,0.42378184,0.46630868,0.53405917,0.50496596,0.5149443,0.7188045,0.18554087,0.36470518,0.55003536,0.68330646,0.77679443,0.8119207,0.61638844,0.9352615,0.8816317,0.54358166,0
0.11574508,0.18767728,0.2007722,0.19130827,0.27118194,0.27355623,0.6729701,0.7794802,0.31150186,0.5420358,0.34063402,0.299931,0.3993756,0.38618356,0.3278697,0.75471544,0.099941336,0.22284286,0.44336256,0.5337511,0.7086183,0.64338535,0.3582443,0.83795685,0.8464737,0.53499895,0
0.12785067,0.1586796,0.24131274,0.19172603,0.2728011,0.27355623,0.65501994,0.77208036,0.34134173,0.565661,0.33949092,0.25059038,0.38167742,0.40061697,0.20664155,0.77751416,0.11760966,0.17706855,0.38099587,0.39210534,0.7933153,0.5998011,0.26028904,0.7048329,0.75296277,0.5205273,0
0.18626991,0.16159043,0.26640928,0.22300851,0.3021246,0.27659574,0.6428965,0.7506164,0.34558672,0.5065502,0.3429089,0.25965753,0.4245734,0.39661717,0.16689083,0.79190874,0.24532524,0.12018748,0.37701294,0.2712967,0.79363155,0.58034724,0.26564798,0.6911874,0.676401,0.43633813,0
0.6398001,0.18021436,0.2027027,0.15774447,0.3159989,0.24012157,0.6670329,0.8553714,0.43395117,0.45819655,0.34760988,0.25469065,0.46930027,0.45504975,0.40526646,0.9939969,0.47772956,0.24102904,0.45220435,0.22973554,0.6944166,0.5248014,0.33031884,0.7888009,0.68700594,0.3194922,0
0.9528272,0.40751374,0.13127413,0.10315556,0.26597962,0.19452888,0.7749921,0.92403877,0.455134,0.20742348,0.37415016,0.37499735,0.68296045,0.4643442,0.38331285,0.85034,0.50445366,0.5296083,0.30259523,0.21033283,0.5086825,0.66834027,0.5434745,0.5724335,0.88962513,0.31071398,0
1.0,0.80537343,0.096525095,0.0774792,0.22948246,0.08510638,0.9110092,0.91015553,0.40196416,0.09691645,0.43135402,0.4178101,0.7365945,0.3870216,0.57553935,0.7511661,0.55673695,0.80948967,0.17660847,0.3829543,0.4415693,0.8198107,0.8225071,0.301767,0.9612007,0.4477634,0
1.0,1.0,0.09073359,0.124615066,0.30495316,0.15805471,0.97421,0.8729542,0.33927482,0.09743846,0.4956852,0.46507585,0.50664395,0.30490938,0.78844994,0.7366781,0.55668324,0.7639589,0.21169628,0.60328406,0.36244887,0.8668332,0.7761193,0.26327664,1.0,0.5426459,0
0.7138394,0.9170918,0.115830116,0.15173402,0.37080088,0.18237083,0.9771241,0.82663757,0.37484774,0.17441994,0.6295359,0.35764906,0.34905452,0.19375457,0.81479234,0.7560681,0.5409301,0.6313246,0.383981,0.7791436,0.3115221,0.79293543,0.7076112,0.21949445,0.9665118,0.59428024,0
0.50320214,0.682217,0.115830116,0.20380722,0.66369057,0.34650457,0.92046136,0.81538707,0.530017,0.3482374,0.79499424,0.18130325,0.29935414,0.025211703,0.603337,0.7227562,0.22724505,0.49703124,0.41917598,0.7310602,0.31778234,0.62415284,0.72469205,0.2500989,0.90639806,0.5025133,0
0.16198063,0.38443497,0.08301158,0.20544082,0.688564,0.44680852,0.79724985,0.8096014,0.6191599,0.40490338,0.7982141,0.40930423,0.40530285,0.10301485,0.44236764,0.65227133,0.16902073,0.41953197,0.43705967,0.60024893,0.32121196,0.57625496,0.50174284,0.41167164,0.7861782,0.49595883,0
